commentaires,notes
far good hard tell refurbished not new received last thursday busy installing updates apps accounts order switch existing windows phone not activated verizon network verified swapping old phone's sim card could connect verizon network cdma lte mode i've configured i'll need verizon store get new sim activate it refurbished seems like work expected new phone update review activation complete i've able put actual daytoday use,5.0 out of 5 stars
believe going best yet came time promised looks brand new setting transferring data breeze love always on screen shows time date well certain information really handsome right size methe reason not given stars don't sim card yet can't actually use phone wifi installed soon imagine wonderful,4.0 out of 5 stars
product works phone headphone jack not don't time return actively need cell business i'd appreciate changing wording refurbished used broken consumers clear what's up like new pretty clear apply things are yknow like new thanks,2.0 out of 5 stars
really nice price everything perfect except try play music aux cord car loud annoying static sound won't away bypass though bluetooth adapter though not huge issue issue i've thus far everything else works amazing looks like new another minor issue shipping ordered last thursday paid extra one day shipping arrived following wednesday nice enough wasn't huge issue definitely don't pay extra one day shipping expect arrive hurry,4.0 out of 5 stars
battery life terrible last hours operating system slow christmas apps quit faster battery does probably return not worth hassle not mention risking feels like first degree burns thing overheating handproscute ability let google rule everythingandroidcan cook eggs waterproofness prevents yoke entering phoneconslow securityheats point thawed two cavemen show marvel technology said dumb used make fireslowbattery dies faster last relationshipstar read miss you,3.0 out of 5 stars
whoever belonged the seller knew issue sold cheap price yes refurbished phone still ongoing issue requires system update day everyday done nothing reflects update asks another update never ending request keep allowing update reboot not another use send one back make receive calls text etc part last decent phone not enough storage space terrible camera not require updates every morning every night need storage space great camera great pictures disappointed never done bad review anything received amazon understand seller different could cause issues future,2.0 out of 5 stars
item defective screen broken huge pink lines flickering day warranty up contacted company day day warranty period apparently starts ordered not received would not help alli not active days happened,1.0 out of 5 stars
glad decided purchase amazon certified refurbishedthe received like new fully functional problems activating verizon account battery life lasts day medium use came samsung quick charger couldn't happier performance quality phone,5.0 out of 5 stars
would not consider certified refurb came generic charger wasn't useable i'm using galaxy charger another product charges not stay charged hours even limited use notifications smart background off wish spend extra something certain certified refurbished electronic item ive purchased previously always came name brand charger good battery life therefore disappointed,3.0 out of 5 stars
mostly please purchase looks great cosmetically works great problem battery battery not good would rated stars get hours light use phone's completely dead hr's hr's max i'm talking blue tooth earpiece connected another purchased new months ago configured identically placed side side one purchased kiss electronics see obvious difference remaining battery power within minutes however called amazon customer service explained problem quickly offered credit could purchase new replacement battery ordered swap bad one soon so i've raised rating stars incredibly responsive customer service response belief new battery resolve problem phone lastly battery replacement process looks little quick swap out involves special tools heat gun etc suggest watching youtube video attempting battery swap update review replace battery,4.0 out of 5 stars
got phone previous owner's information still phone bad enough now months crashed completely dead even though appears completely fine hasn't dropped hasn't wet verizon employees said done unless seller follows something changes recommendation avoid them,1.0 out of 5 stars
got phone previous owner's information still phone bad enough now months crashed completely dead even though appears completely fine hasn't dropped hasn't wet verizon employees said done unless seller follows something changes recommendation avoid them,1.0 out of 5 stars
bewarephone aesthetically looks greatcharge port looseunable get rid software update notification run update still keeps coming back every time tried factory reset didn't fix problembattery life bad complete discharge within normal conditions very little usage am am pm not possible replace battery since integrated battery devicecalled customer service issue refund replacement without new one arrives received defective onei verizon get micro sim had cut old one fit nano sim slot old device send one back without phoneunfortunate experience overall,2.0 out of 5 stars
skeptical ordering assured would work verizon verizon logo back hardest part getting sim card cause older drive hour verizon corporate store busy weekend husband loves it it’s first smart phone no complaints far questions answered quickly fast shippingdef recommend seller product,5.0 out of 5 stars
cell available number different sellers mixed reviews across board almost pricing opted dealfisher pleased entire order process see seller review separately far goes little bit hesitant going refurbished unit almost cheaper purchasing new verizon i'm glad took chance nontechnical examination brand new not scratch rub mark discernible indication ever used before not come sim card memory card clearly indicated product description not know galaxy replacing micro sim card galaxy the new phone nano sim card not same that's bad news good news local verizon store not authorized vendor real verizon store installed new nano card couple minutes then since weren't busy cross loaded contents old newat cost can't get better that way memory card phones hope get great results did cheersed,5.0 out of 5 stars
looks acts like absolute brand new condition came legitimate samsung fast charger usb converter store information set really nice samsung earbuds thing doesn't scream brand new came plain white box cost less new,5.0 out of 5 stars
missing verizon voicemail app spoiler alert can't add it according verizon support something added first configured also per verizon say means not really verizon phone work verizon network ultimately means can't tell voicemail many voicemails have left dial voicemail number listen message entirety check info voicemail get info it someone lives life go would disclosed product description would picked another phone,1.0 out of 5 stars
certified samsung refurbished many problems box aftermarket accessories charged hot screen light section jiggled black colors green speaker cut out mobile reception strength started half previous decreased near zero would rate refurbish poor quality give less star,1.0 out of 5 stars
not truly unlocked went several carriers none able activate phone sending back,1.0 out of 5 stars
cell available number different sellers mixed reviews across board almost pricing opted dealfisher pleased entire order process see seller review separately far goes little bit hesitant going refurbished unit almost cheaper purchasing new verizon i'm glad took chance nontechnical examination brand new not scratch rub mark discernible indication ever used before not come sim card memory card clearly indicated product description not know galaxy replacing micro sim card galaxy the new phone nano sim card not same that's bad news good news local verizon store not authorized vendor real verizon store installed new nano card couple minutes then since weren't busy cross loaded contents old newat cost can't get better that way memory card phones hope get great results did cheersed,5.0 out of 5 stars
looks acts like absolute brand new condition came legitimate samsung fast charger usb converter store information set really nice samsung earbuds thing doesn't scream brand new came plain white box cost less new,5.0 out of 5 stars
missing verizon voicemail app spoiler alert can't add it according verizon support something added first configured also per verizon say means not really verizon phone work verizon network ultimately means can't tell voicemail many voicemails have left dial voicemail number listen message entirety check info voicemail get info it someone lives life go would disclosed product description would picked another phone,1.0 out of 5 stars
certified samsung refurbished many problems box aftermarket accessories charged hot screen light section jiggled black colors green speaker cut out mobile reception strength started half previous decreased near zero would rate refurbish poor quality give less star,1.0 out of 5 stars
not truly unlocked went several carriers none able activate phone sending back,1.0 out of 5 stars
st verizon tech tried new sim cards would not work put sim card iphone activated not supposed to nd unknown apps europe netherlands constantly trying download went am shut down charged am would not screen shots verizon tech tried put safe mode  would not work could  on cost time verizon store hrs time redownloading apps ring tones company showed  reviews favorable scam additional cost zagg screen saver  protective case also time face kept rocking military time wierd giving bogus local temp outside showing ordered wireless charger phone  tried save some long run ordered new verizon,1.0 out of 5 stars
love phone unfortunately first one sent defective  calls finally got hands one works properly i'm love never thought i'd happy leave apple definitely am,4.0 out of 5 stars
update rebooting times system update finally able use fingerprint sensor unlock phone not frustration think may fixed problem i would give company zero stars could received put sim keep getting notification unauthorized actions detected this cannot use many apps including fingerprint security samsung’s health app restarted avail factory reset didn’t work still get message piece know what sending back full refund unfortunately company probably send defective next person orders one buys beware,2.0 out of 5 stars
worth bought dealfisher great battery strong one two minor scratches suggest thing hardly used trouble getting switched existing verizon service last thing note package included charger without extras that's fine me happy got good one,5.0 out of 5 stars
great overall battery isn't dieing purchased thinking great deal since refurbished however battery life horrible dies like hours need get battery replacement now performance good nice camera i'm little salty constantly charge phone get different battery horrible feel ripped,1.0 out of 5 stars
initially looking buy new knew didn't need newest shiniest decided buy generations back debated buy used phone researched long time went back forth lot websites amazon cheapest price made happy little bit warry decided amazon choose seller carefully one good reviews high quantity reviews came defects looked brand new didn't sim card but knew wouldn't great great deal waited write review couple months make sure highly reccomend buying used phone,5.0 out of 5 stars
perfect quality flawless performance brand new galaxy lost months use decided replace refurbished using exact but brand new prior using refurbished undoubtedly confirm performs same looks feels brand new well scratches dings not even dirt dust speaker grill etc first hesitant purchase refurbished phone worries reason seller thank you,5.0 out of 5 stars
bought replace aging still working getting tired otter box life battery replacements since bought new back days smartphones free signed year contract bit sticker shock went shopping i'm retired don't need latest gadget filled cell phonei read reviews amazon found wide mix comments junk like new condition thing sold one amazon certified statement a certified refurbished product tested certified work look like new minimal signs wear party distributorcertified work look like new amazon's description means could return not completely satisfied condition party distributor kiss electronicsi live socal ordered prime day delivery surprise arrived next dayfirst impressionsi opened prime box find generic box inside opened box found phone wall charger number kiss electronics customer support that's it manual release key sim card instruction manual soon encouraged like new external condition saw appeared factory original peel plastic screen cover it plugged provided amazon marked charger find battery completely discharged found safety pin release sim card holder quickly realized old verizon sim card way big fit next day went verizon store happily supplied nano sim card asked could transfer old contact info old sim new one told not possible know sim card data transfer problem would used google advance back data first going verizon store well transferred data old fashioned way hey i'm retired caresafter getting new nano sim card installed ready try phonei turned update contacts decided check android operating system updates found currently running marshmallow updated first second rd total  different operating system updates took hours complete upgrades updated way oreo  realized must new old stock not ever operated used beforei read manufactures like samsung often many brand new phones earmarked warranty exchange programs suspect phones new phones not needed manufacture sold auction various electronic device distributors like kiss electronicsi week removing bloatware configuring way want it happy it would highly recommend anyone budget whoever doesn't need latest greatest cell market rate entire experience amazon kiss electronics,5.0 out of 5 stars
aside little rash around charging port used like new scratches issues working great far bought wife may order one nowupdate i purchased replace wife's galaxy i still using mine since bought not happy call quality hard time understanding unless speaks deliberately clearly months later realize not connected using voice option verizon phones advanced calling options not present phone spent hours vzw support samsung support avail samsung told unlocked not features verizon says must not verizon that's not available bought deal fisher supposed verizon not listed unlocked phone ultimately overly disappointed  s way better call quality hesitant replace another one amazon,3.0 out of 5 stars
not software compatible verizon cannot activated despite multiple attempts factory reset update software verizon's software tool computer cannot use new sim card verizon since sold verizon phone renders essentially useless me spending hours verizon tech support following hours time attempting reset phone i'll returning refund still phone waiting week onean enormous waste time useless devicemy options include rolling device waiting another week get new amazonthis seller switching another seller verizon either way i'm left without working device another week,1.0 out of 5 stars
suppose black received gold also built service vietnamphone says actually gu also not really samsung galaxy replica fake settings not allow voice video chat,1.0 out of 5 stars
