4.0 out of 5 stars,"the S8 Plus is very nice.  The screen is great and the phone is fast, responsive and well designed.  a decent wired headset and fast charger is included.  i am getting good battery life.  my only complaint is the apps that come with the phone and can’t be uninstalled.  this is especially true of the bixby app which i don’t use.  it has a dedicated button which i disabled.  the voice dictation doesn’t work as well as the Google dictation.  fortunately it can be changed to use Google by default.
            "
4.0 out of 5 stars,"I bought 2 of these and so far they're working great. I had to give a 4 rating because they took about 3 weeks to reach me. Not sure what happened with the shipping. I also had trouble getting 1 of them to set up. It came up as T-Mobile and refused to recognize my Verizon card. It took me hours to get it to work. I had to factory reset and keep restarting the phone over and over before it recognized it as a Verizon card. As far as the phones go they came factory packaged and appeared to be brand new. No complaints there! Make sure to check with your carrier before buying and see if they use GSM or CDMA. Buy the wrong phone and it will not work!
            "
5.0 out of 5 stars,"The S8 is a great phone. I got this for my girlfriend for her birthday and I was worried it would be annoying to get activated on her Verizon account. I was completely wrong: she took her sim card out of her iphone 6, put it in her new S8, let the phone finish its initial setup, and that was literally it. She didn't have to even log into her Verizon account and register anything, it just worked immediately (i.e. she could send texts and calls and use her 4g network when wifi was turned off). Very impressive.Pros:- instant setup without any hassle or contacting Verizon. Didn't need to contact or even login to Verizon (already had a sim card from another Verizon phone)- Fast, great screen, Android, great camera, expandable disk space, slim, gorgeous- Powerful enough to emulate ps1 games- Still has a dedicated headphone jackCons:- dedicated Bixby (virtual assistant that I don't care to learn) button that can only be disabled not reprogrammed- inserting sim and sd card works via a flimsy insert that pops out the top. Fortunately you only likely have to do this once or twice
            "
5.0 out of 5 stars,"I read the good, the bad, the ugly reviews and took my chances. 2-day shipping, little scratches on the box but at least the phone was in there. I activated the new T-Mobile sim card with my existing account and all my data from my old galaxy phone got transferred smoothly. The phone has a great sleek modern look and feel, no problems with it.
            "
4.0 out of 5 stars,"Arrived quickly, took to ATT for activation with absolutely no problem. I was in and out in less than 30 minutes including adding changes to my account. Phone is a nice size, display very clear. My only con is that the font sizes are not great and don't allow too much adjustment. With a bigger screen, this is harder to read texts on than my Galaxy 5. I will play with the screen zoom and fonts, may see if I can download one that works better for me. Overall it's very nice, and a definite upgrade. Glad I stayed with Galaxy.
            "
5.0 out of 5 stars,"SO I ordered the Samsung galaxy s8 unlocked 64GB-US model  G950U midnight black US warranty. Used in good conditions retailed for $519.00 plus tax . It shipped Amazon prime and it arrived via Fedex. Presentation and packaging was nice I expected a crappy box but it came in a nicely detailed android smartphone device box.  So when I turned on the phone I was worried because it had a Verizon smart up menu and when we inserted our metro pcs sim card it read "" not a verizon sim card"" anyways so I went to Metro pcs decided to get a new sim card because mines was old anyways and then they asked if the galaxy s8 phone was unlocked I said yes, the guy was kinda rude and said some features are not going to work properly it seems like no carrier wants to activate unlocked phones these days anyways he set it up. I got home and checked my main features I use like, casting to tv, wifi, browser & youtube sharing, messaging, messaging sharing, bluetooth, wireless charging, sharing, phone calls, google chrome, google home everything worked perfectly so maybe its just the feautures offered from the Verizon network.
            "
1.0 out of 5 stars,"Where do I even begin? This is advertised as a new 64gb black Samsung galaxy S8. What I received was a 32gb gold Samsung galaxy S7 edge inside of a S8 box. Not to mention the front and back of the phone were both shattered - and the cherry on top? There was a little ""don't open if this seal is broken"" sticker on it. It would be hilarious if it didn't cost me $400. I'll be putting this straight back in the box to return it, but it's tough to fight the urge to toss it in the trash.This is a complete waste of money and this seller is a blatant scammer.  I saw some other negative comments and thought ""surely it will work out anyway, I know what I'm doing."" I suspect the positive comments were posted by bots, shills of some sort or by the seller themself. Please save yourself the time and money and don't fall for this like I did.Pics so you can laugh at my misfortune.
            "
4.0 out of 5 stars,"Bought this to use as part of my Verizon account.  Obtained a sim card from the Verizon store and they activated it successfully.  This is an AT&T Phone and comes with an AT&T sim card.  It does work on the Verizon network but the AT&T logo is all over it including the built-in AT&T apps.  The built-in apps can be disabled but not deleted.  The time did not want to sync but that may change with updates.  I gave it 4 stars because they could be more up-front that it is AT&T.  The Galaxy S8 is a great phone.  So far, it is worth the $400 savings over getting it from Verizon.  Only time will tell.
            "
5.0 out of 5 stars,"I was skeptic about buying this because I wasn't sure it would work with my phone plan (Ihave boost mobile). Plus the phone was used and I was worried about what condition it would actually be in once I've gotten it. Once I received the phone it looked brand new not 1 scratch on it. Boost couldn't activate it though so I became a little discouraged. The girl that worked at boost told me I could go to sprint and they would help me for a fee. I went to sprint to get the sims card that boost does not carry on hand. They would have had to order it. So I went to sprint gave them the info on the sim card I needed. They were able to help me and the sims card ended up being free. Setup was easy after that. I just needed to put my info into the phone and less then 5 minutes it was up and running. I love that the phone came with a warranty. I purchased the phone October 2018 and I called samsung to find out how much longer the warranty was good for. They told me August of next year. I do have two cons about my purchase #1 being it doesn't come with a charger and #2 it doesn't come with the fancy headphones that the s8 comes with. Overall I'm please with my purchase.
            "
5.0 out of 5 stars,"I got tired of being forcibly throttled by iOS.  I had an iPhone 7 and like my iPad Air 2 both seem to be running slower and slower regardless of actions taken to remedy.I decided to go back to Android.This S8+ COULD redeem Android for me as prior Android phones were slow, laggy, and poor performers that proved unreliable.  This phone is fast, works smooth with minimal issue and most importantly, is reliable. Unfortunately some of the little, insignificant things have not been resolved but functionality is much higher than with my iPhone 7.Of course, it is still early on, if I have any issues, I will update my review as usual.
            "
