notes,commentaires
5.0 out of 5 stars,far good hard tell refurbished not new received last thursday busy installing updates apps accounts order switch existing windows phone not activated verizon network verified swapping old phone's sim card could connect verizon network cdma lte mode i've configured i'll need verizon store get new sim activate it refurbished seems like work expected new phone update review activation complete i've able put actual daytoday use
4.0 out of 5 stars,believe going best yet came time promised looks brand new setting transferring data breeze love always on screen shows time date well certain information really handsome right size methe reason not given stars don't sim card yet can't actually use phone wifi installed soon imagine wonderful
2.0 out of 5 stars,product works phone headphone jack not don't time return actively need cell business i'd appreciate changing wording refurbished used broken consumers clear what's up like new pretty clear apply things are yknow like new thanks
4.0 out of 5 stars,really nice price everything perfect except try play music aux cord car loud annoying static sound won't away bypass though bluetooth adapter though not huge issue issue i've thus far everything else works amazing looks like new another minor issue shipping ordered last thursday paid extra one day shipping arrived following wednesday nice enough wasn't huge issue definitely don't pay extra one day shipping expect arrive hurry
3.0 out of 5 stars,battery life terrible last hours operating system slow christmas apps quit faster battery does probably return not worth hassle not mention risking feels like first degree burns thing overheating handproscute ability let google rule everythingandroidcan cook eggs waterproofness prevents yoke entering phoneconslow securityheats point thawed two cavemen show marvel technology said dumb used make fireslowbattery dies faster last relationshipstar read miss you
2.0 out of 5 stars,whoever belonged the seller knew issue sold cheap price yes refurbished phone still ongoing issue requires system update day everyday done nothing reflects update asks another update never ending request keep allowing update reboot not another use send one back make receive calls text etc part last decent phone not enough storage space terrible camera not require updates every morning every night need storage space great camera great pictures disappointed never done bad review anything received amazon understand seller different could cause issues future
1.0 out of 5 stars,item defective screen broken huge pink lines flickering day warranty up contacted company day day warranty period apparently starts ordered not received would not help alli not active days happened
5.0 out of 5 stars,glad decided purchase amazon certified refurbishedthe received like new fully functional problems activating verizon account battery life lasts day medium use came samsung quick charger couldn't happier performance quality phone
3.0 out of 5 stars,would not consider certified refurb came generic charger wasn't useable i'm using galaxy charger another product charges not stay charged hours even limited use notifications smart background off wish spend extra something certain certified refurbished electronic item ive purchased previously always came name brand charger good battery life therefore disappointed
4.0 out of 5 stars,mostly please purchase looks great cosmetically works great problem battery battery not good would rated stars get hours light use phone's completely dead hr's hr's max i'm talking blue tooth earpiece connected another purchased new months ago configured identically placed side side one purchased kiss electronics see obvious difference remaining battery power within minutes however called amazon customer service explained problem quickly offered credit could purchase new replacement battery ordered swap bad one soon so i've raised rating stars incredibly responsive customer service response belief new battery resolve problem phone lastly battery replacement process looks little quick swap out involves special tools heat gun etc suggest watching youtube video attempting battery swap update review replace battery
